,base_model,type_model,task,sample_type,nb_samples,loss_computation,config,prompt_time_r1,prompt_time_r2,bleu_1_r1,bleu_2_r1,bleu_3_r1,bleu_4_r1,rouge_1_r1,rouge_2_r1,rouge_L_r1,rouge_Lsum_r1,bert_p_r1,bert_r_r1,bert_f1_r1,roberta_p_r1,roberta_r_r1,roberta_f1_r1,bleu_1_auto_r1,bleu_2_auto_r1,bleu_3_auto_r1,bleu_4_auto_r1,rouge_1_auto_r1,rouge_2_auto_r1,rouge_L_auto_r1,rouge_Lsum_auto_r1,bert_p_auto_r1,bert_r_auto_r1,bert_f1_auto_r1,roberta_p_auto_r1,roberta_r_auto_r1,roberta_f1_auto_r1,bleu_1_r2,bleu_2_r2,bleu_3_r2,bleu_4_r2,rouge_1_r2,rouge_2_r2,rouge_L_r2,rouge_Lsum_r2,bert_p_r2,bert_r_r2,bert_f1_r2,roberta_p_r2,roberta_r_r2,roberta_f1_r2,bleu_1_auto_r2,bleu_2_auto_r2,bleu_3_auto_r2,bleu_4_auto_r2,rouge_1_auto_r2,rouge_2_auto_r2,rouge_L_auto_r2,rouge_Lsum_auto_r2,bert_p_auto_r2,bert_r_auto_r2,bert_f1_auto_r2,roberta_p_auto_r2,roberta_r_auto_r2,roberta_f1_auto_r2
0,gemma-2-2b,BASE,task-1,manual,,,,1.630944,,0.21286266513797636,0.11803805792821652,0.06780904355131726,0.04349938871495536,0.3269230769230769,0.09803921568627452,0.1730769230769231,0.1730769230769231,0.6619988679885864,0.5626344084739685,0.6082855463027954,0.9021764993667603,0.8723931312561035,0.8870348930358887,0.13468550348816166,0.07596351330146528,0.04388584672184046,0.03033762923901677,0.3759398496240602,0.10687022900763359,0.21052631578947367,0.21052631578947367,0.7064039707183838,0.5602172613143921,0.6248745918273926,0.8992184996604919,0.854956328868866,0.8765290379524231,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,gemma-2-2b,BASE,task-1,automatic,,,,1.548614,,0.21286266513797636,0.11803805792821652,0.06780904355131726,0.04349938871495536,0.3269230769230769,0.09803921568627452,0.1730769230769231,0.1730769230769231,0.6619988679885864,0.5626344084739685,0.6082855463027954,0.9021764993667603,0.8723931312561035,0.8870348930358887,0.13468550348816166,0.07596351330146528,0.04388584672184046,0.03033762923901677,0.3759398496240602,0.10687022900763359,0.21052631578947367,0.21052631578947367,0.7064039707183838,0.5602172613143921,0.6248745918273926,0.8992184996604919,0.854956328868866,0.8765290379524231,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,gemma-2-2b,BASE,task-1,manual,,,,1.624677,,0.1545819640647129,0.08503419841320436,0.050605259220880626,0.02982652689119227,0.32857142857142857,0.07246376811594203,0.2285714285714286,0.2285714285714286,0.663404107093811,0.6093899011611938,0.6352508664131165,0.899262547492981,0.8689702749252319,0.8838569521903992,0.07713379200558976,0.05238410678670744,0.03680904134293313,0.026974835565958984,0.3204419889502762,0.1340782122905028,0.20994475138121546,0.20994475138121546,0.707438588142395,0.5798567533493042,0.6373254656791687,0.9106354117393494,0.8611325025558472,0.8851924538612366,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,gemma-2-2b,BASE,task-1,automatic,,,,1.632709,,0.1545819640647129,0.08503419841320436,0.050605259220880626,0.02982652689119227,0.32857142857142857,0.07246376811594203,0.2285714285714286,0.2285714285714286,0.663404107093811,0.6093899011611938,0.6352508664131165,0.899262547492981,0.8689702749252319,0.8838569521903992,0.07713379200558976,0.05238410678670744,0.03680904134293313,0.026974835565958984,0.3204419889502762,0.1340782122905028,0.20994475138121546,0.20994475138121546,0.707438588142395,0.5798567533493042,0.6373254656791687,0.9106354117393494,0.8611325025558472,0.8851924538612366,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,gemma-2-2b,BASE,task-1,manual,,,,1.72246,,0.23939457966763275,0.1255029922182788,0.053274058413536045,0.0,0.352,0.06504065040650406,0.208,0.208,0.6888434886932373,0.5941080451011658,0.6379780173301697,0.9075746536254883,0.8809172511100769,0.894047200679779,0.19238642021551816,0.13175752664797483,0.09799575419539622,0.06757299635954814,0.45161290322580644,0.2091503267973856,0.2580645161290323,0.2580645161290323,0.7353384494781494,0.6263319253921509,0.676472008228302,0.9113181829452515,0.8745831847190857,0.8925728797912598,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,gemma-2-2b,BASE,task-1,automatic,,,,1.747738,,0.23939457966763275,0.1255029922182788,0.053274058413536045,0.0,0.352,0.06504065040650406,0.208,0.208,0.6888434886932373,0.5941080451011658,0.6379780173301697,0.9075746536254883,0.8809172511100769,0.894047200679779,0.19238642021551816,0.13175752664797483,0.09799575419539622,0.06757299635954814,0.45161290322580644,0.2091503267973856,0.2580645161290323,0.2580645161290323,0.7353384494781494,0.6263319253921509,0.676472008228302,0.9113181829452515,0.8745831847190857,0.8925728797912598,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,gemma-2-2b,BASE,task-1,manual,,,,1.59451,,0.2537414970177506,0.1651107051985782,0.0999852140380627,0.0553499732579724,0.46153846153846156,0.19130434782608693,0.4102564102564103,0.4102564102564103,0.791967511177063,0.6751837730407715,0.728927731513977,0.935674250125885,0.8958172798156738,0.9153121113777161,0.1119562296105946,0.08465989325706225,0.06478984642179432,0.050928896309285786,0.39189189189189194,0.2191780821917808,0.36486486486486486,0.36486486486486486,0.7939634919166565,0.5889428853988647,0.6762556433677673,0.9225465059280396,0.8680799007415771,0.89448481798172,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,gemma-2-2b,BASE,task-1,automatic,,,,1.604971,,0.2537414970177506,0.1651107051985782,0.0999852140380627,0.0553499732579724,0.46153846153846156,0.19130434782608693,0.4102564102564103,0.4102564102564103,0.791967511177063,0.6751837730407715,0.728927731513977,0.935674250125885,0.8958172798156738,0.9153121113777161,0.1119562296105946,0.08465989325706225,0.06478984642179432,0.050928896309285786,0.39189189189189194,0.2191780821917808,0.36486486486486486,0.36486486486486486,0.7939634919166565,0.5889428853988647,0.6762556433677673,0.9225465059280396,0.8680799007415771,0.89448481798172,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,gemma-2-2b,BASE,task-1,manual,,,,1.86514,,0.24505144702407172,0.1383786993778852,0.0673495732332357,0.0,0.40875912408759124,0.13333333333333333,0.2481751824817518,0.2481751824817518,0.7021509408950806,0.644340991973877,0.6720049977302551,0.911526083946228,0.8854570984840393,0.898302435874939,0.34428444006059167,0.18443809288960267,0.13175978981027336,0.09414068943474233,0.48739495798319327,0.11965811965811966,0.36974789915966383,0.36974789915966383,0.7785166501998901,0.6964433789253235,0.7351965308189392,0.9340770244598389,0.9066482782363892,0.9201582670211792,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,gemma-2-2b,BASE,task-1,automatic,,,,1.891382,,0.24505144702407172,0.1383786993778852,0.0673495732332357,0.0,0.40875912408759124,0.13333333333333333,0.2481751824817518,0.2481751824817518,0.7021509408950806,0.644340991973877,0.6720049977302551,0.911526083946228,0.8854570984840393,0.898302435874939,0.34428444006059167,0.18443809288960267,0.13175978981027336,0.09414068943474233,0.48739495798319327,0.11965811965811966,0.36974789915966383,0.36974789915966383,0.7785166501998901,0.6964433789253235,0.7351965308189392,0.9340770244598389,0.9066482782363892,0.9201582670211792,,,,,,,,,,,,,,,,,,,,,,,,,,,,
